returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating
-0.365104444,-0.534913345,-0.706073114,-0.15899096,-0.246413588,0.47607132,-0.290582363,-0.10665813,0.527023703,0.491483364,0.161894203,0.092746747,1.500694366,0.033510198,-0.414244585,-1.777398613,0.510012448,-0.022201642,31.0,0.0034877927254608,8.0,2011.0,True,3.0
-0.325183991,0.149238294,1.094385198,-0.418070261,2.094481429,0.346252601,-0.326307238,-0.142797619,-1.251898289,-2.161958492,-0.463669862,-0.072661271,-1.535747425,0.009884125,-1.582229075,-0.541029896,1.105803732,-0.641408401,1.0,0.0029895366218236,9.0,2011.0,True,4.0
0.525627459,-0.397593604,0.287902815,0.160039948,-0.299482929,0.157281433,-0.654526619,-0.08386657,-0.292060172,0.263962149,0.188870855,0.043246604,-0.336164004,0.075248877,0.271415656,0.58487955,0.008318381,0.725622209,2.0,0.0029895366218236,9.0,2011.0,True,5.0
2.101796995,0.412186707,0.176427071,-0.621484711,-0.259648484,0.102883894,0.386776925,0.156040293,0.352137389,0.636289473,0.314905038,-0.03722332,-0.776626323,-0.003704107,0.976639478,0.553857228,0.336040878,0.918214206,21.0,0.0029895366218236,9.0,2011.0,True,0.0
0.225204343,-0.439895232,-0.225602096,-2.543123997,-0.420147985,0.160256255,1.653109807,-0.079235135,1.27972206,0.977756973,0.316366837,0.002874203,-0.633611305,-0.071331021,1.109000053,1.109916452,-2.446369468,-0.618063836,11.0,0.0029895366218236,10.0,2011.0,True,4.0
-0.195137831,0.369195628,-0.077285914,-0.210750147,-0.154887855,-0.133022847,-0.095215461,-0.586985266,0.759131063,-1.353176953,-1.666145822,-0.037078476,-0.233202353,0.046674574,-1.050311233,0.403379409,0.732282792,-1.440171237,24.0,0.0029895366218236,10.0,2011.0,True,3.0
0.155648297,-0.103650372,-0.091556881,-0.700480922,-0.307521307,0.174016692,-1.032800901,-0.035253641,0.570338292,0.794776335,0.14453677,-0.169394896,0.605095756,-0.008914287,0.537147733,0.456648717,-1.025336519,-0.204691702,26.0,0.0024912805181863,10.0,2011.0,True,4.0
-0.450431615,-0.605782849,-0.37692997,0.899931006,-0.459808242,0.19022329,-0.299960599,-0.096141815,-1.033377227,-0.198519911,0.618189593,0.152670297,1.526945768,0.344245715,0.650158142,-1.777398613,0.377510922,-1.371378611,4.0,0.0034877927254608,11.0,2011.0,True,4.0
0.076107563,-0.195060943,0.277602653,-1.039289535,0.037024152,-0.070112835,-0.377029828,-0.004817303,0.740933184,0.978687229,0.458906859,-0.133626501,0.480424984,-0.028829307,-0.168534091,-0.443933445,0.461144086,-0.220750748,10.0,0.0029895366218236,11.0,2011.0,True,5.0
-0.143662182,-0.964013704,-0.281834658,-0.079565641,-0.662743651,0.184478416,-0.175562595,-0.235279763,-0.402932203,0.614963997,1.717548374,-0.067842051,-1.233698717,0.041540988,0.537544506,-0.076803547,-0.67867326,-0.938771195,11.0,0.0034877927254608,11.0,2011.0,True,4.0
